Name,Survived
"Heikkinen, Miss. Laina",1
"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",1
"Sandstrom, Miss. Marguerite Rut",1
"Masselmani, Mrs. Fatima",1
"McGowan, Miss. Anna ""Annie""",1
"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",1
"O'Dwyer, Miss. Ellen ""Nellie""",1
"Glynn, Miss. Mary Agatha",1
"Mamee, Mr. Hanna",1
"Nicola-Yarred, Miss. Jamila",1
"Devaney, Miss. Margaret Delia",1
"O'Driscoll, Miss. Bridget",1
"Moubarek, Master. Gerios",1
"Andersson, Miss. Erna Alexandra",1
"Bing, Mr. Lee",1
"Dowdell, Miss. Elizabeth",1
"Sheerlinck, Mr. Jan Baptist",1
"McDermott, Miss. Brigdet Delia",1
"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",1
"Salkjelsvik, Miss. Anna Kristine",1
"Moss, Mr. Albert Johan",1
"Moran, Miss. Bertha",1
"Nicola-Yarred, Master. Elias",1
"Madsen, Mr. Fridtjof Arne",1
"Peter, Miss. Anna",1
"Nysten, Miss. Anna Sofia",1
"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",1
"Andersson, Mr. August Edvard (""Wennerstrom"")",1
"Gilnagh, Miss. Katherine ""Katie""",1
"Goldsmith, Master. Frank John William ""Frankie""",1
"Johnson, Miss. Eleanor Ileen",1
"Kink-Heilmann, Miss. Luise Gretchen",1
"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",1
"Andersen-Jensen, Miss. Carla Christine Nielsine",1
"Madigan, Miss. Margaret ""Maggie""",1
"Cohen, Mr. Gurshon ""Gus""",1
"Albimona, Mr. Nassef Cassem",1
"Carr, Miss. Helen ""Ellen""",1
"Honkanen, Miss. Eliina",1
"Sunderland, Mr. Victor Francis",1
"Asplund, Miss. Lillian Gertrud",1
"Murphy, Miss. Katherine ""Kate""",1
"Touma, Mrs. Darwis (Hanne Youssef Razi)",1
"Asplund, Master. Edvin Rojj Felix",1
"Persson, Mr. Ernst Ulrik",1
"Tornquist, Mr. William Henry",1
"Healy, Miss. Hanora ""Nora""",1
"Abbott, Mrs. Stanton (Rosa Hunt)",1
"Dorking, Mr. Edward Arthur",1
"de Mulder, Mr. Theodore",1
"Connolly, Miss. Kate",1
"Kelly, Miss. Anna Katherine ""Annie Kate""",1
"McCoy, Mr. Bernard",1
"Nilsson, Miss. Helmina Josefina",1
"Goldsmith, Mrs. Frank John (Emily Alice Brown)",1
"McCoy, Miss. Agnes",1
"Dahl, Mr. Karl Edwart",1
"Davison, Mrs. Thomas Henry (Mary E Finck)",1
"Coutts, Master. William Loch ""William""",1
"McGovern, Miss. Mary",1
"Mockler, Miss. Helen Mary ""Ellie""",1
"Moussa, Mrs. (Mantoura Boulos)",1
"Jermyn, Miss. Annie",1
"Landergren, Miss. Aurora Adelia",1
"Nakid, Miss. Maria (""Mary"")",1
"Jansson, Mr. Carl Olof",1
"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",1
"Niskanen, Mr. Juha",1
"Sundman, Mr. Johan Julian",1
"Pickard, Mr. Berk (Berk Trembisky)",1
"Thorneycroft, Mrs. Percival (Florence Kate White)",1
"Johannesen-Bratthammer, Mr. Bernt",1
"Baclini, Miss. Marie Catherine",1
"Jalsevac, Mr. Ivan",1
"Baclini, Miss. Helene Barbara",1
"Hirvonen, Miss. Hildur E",1
"Turkula, Mrs. (Hedwig)",1
"Coutts, Master. Eden Leslie ""Neville""",1
"Lang, Mr. Fang",1
"Daly, Mr. Eugene Patrick",1
"Peter, Mrs. Catherine (Catherine Rizk)",1
"Leeni, Mr. Fahim (""Philip Zenni"")",1
"Ohman, Miss. Velin",1
"de Messemaeker, Mrs. Guillaume Joseph (Emma)",1
"Jonsson, Mr. Carl",1
"Kelly, Miss. Mary",1
"Jussila, Mr. Eiriik",1
"Murphy, Miss. Margaret Jane",1
"Nakid, Mr. Sahid",1
"Foo, Mr. Choong",1
"Baclini, Miss. Eugenie",1
"Stanley, Miss. Amy Zillah Elsie",1
"O'Leary, Miss. Hanora ""Norah""",1
"Lindqvist, Mr. Eino William",1
"Turja, Miss. Anna Sofia",1
"Karun, Miss. Manca",1
"Lam, Mr. Ali",1
"Mullens, Miss. Katherine ""Katie""",1
"Moubarek, Master. Halim Gonios (""William George"")",1
"Mannion, Miss. Margareth",1
"Stranden, Mr. Juho",1
"Moor, Master. Meier",1
"Barah, Mr. Hanna Assi",1
"Emanuel, Miss. Virginia Ethel",1
"Ayoub, Miss. Banoura",1
"Sjoblom, Miss. Anna Sofia",1
"Dean, Master. Bertram Vere",1
"Osman, Mrs. Mara",1
"Thomas, Master. Assad Alexander",1
"Hedman, Mr. Oskar Arvid",1
"Lulic, Mr. Nikola",1
"Moor, Mrs. (Beila)",1
"McCormack, Mr. Thomas Joseph",1
"Yasbeck, Mrs. Antoni (Selini Alexander)",1
"Chip, Mr. Chang",1
"Aks, Mrs. Sam (Leah Rosen)",1
"Baclini, Mrs. Solomon (Latifa Qurban)",1
"Johnson, Master. Harold Theodor",1
"Najib, Miss. Adele Kiamie ""Jane""",1
